,"(A/V)വിപരീതാഖ്യാനകീ-പാദം-2,4",,,TTJGG
12,ഇന്ദ്രവംശ ,,19,TTJR
8,വിപുല ,,,TTL
16,അതിമുദിതം ,,26,TTTSTG
6,തനുമദ്ധ്യ ,,10,TY
10,സുഷമ  ,,16,TYBG
8,വിപുല ,,,TYG
8,വിപുല ,,,TYL
14,മദനാർത്ത ,,22,TYSBGG
,"(D)ഇക്ഷുദണ്ഡിക–പാദം-1,3",2335,,TYSBMNMNMNNSNNSG
12,മണിമാല ,"6,6",20,TYTY
8,വിപുല ,,,YBL
8,ചപലവക്ത്രം ,,,YBLG
16,കാന്ത ,,24,YBNRSLG
8,വിപുല ,,,YJG
8,വിപുല ,,,YJL
13,ധരാനന്ദിനി ,,19,YJSSG
8,വിപുല ,,,YMG
8,വിപുല ,,,YML
17,ശിഖരിണി ,,25,YMNSBLG
19,മേഘവിഷ്ഫൂർജിതം ,"6,6,7",28,YMNSRR
13,ചഞ്ചരീകാവലി  ,,23,YMRRG
8,വിപുല ,,,YNL
8,ചപലവക്ത്രം ,,,YNLG
8,"അനുഷ്ടുഭ്-പാദം-1,3/വക്ത്രം",,,YRGG
8,"അനുഷ്ടുഭ്-പാദം-1,3",,,YRGL
8,"അനുഷ്ടുഭ്-പാദം-2,4/പദ്യാവക്ത്രം",,,YRLG
8,"അനുഷ്ടുഭ്-പാദം-2,4",,,YRLL
8,"അനുഷ്ടുഭ്-പാദം-1,3/വക്ത്രം",,,YSGG
8,"അനുഷ്ടുഭ്-പാദം-1,3",,,YSGL
8,"അനുഷ്ടുഭ്-പാദം-2,4/പദ്യാവക്ത്രം",,,YSLG
8,"അനുഷ്ടുഭ്-പാദം-2,4",,,YSLL
8,വിപുല ,,,YTG
8,വിപുല ,,,YTL
8,വിപുല ,,,YYG
8,വിപുല ,,,YYL
11,കുമാരി-2,,18,YYYLG
12,ഭുജംഗപ്രയാതം,,20,YYYY
,(D)സിംഹവിക്രാന്തം-1,,,YYYYYYYYY
,(D)സിംഹവിക്രാന്തം-2,,,YYYYYYYYYY
,(D)സിംഹവിക്രാന്തം-3,,,YYYYYYYYYYY
,(D)സിംഹവിക്രാന്തം-4  ,,,YYYYYYYYYYYY
,(D)സിംഹവിക്രാന്തം-5,,,YYYYYYYYYYYYY
